Zipcode,Population Total,Bachelor population,Master population,Professional school degree population,Doctorate degree population
ZCTA5 43055,40341,4701,1663,271,206
ZCTA5 43056,12770,1291,461,78,84
ZCTA5 43060,1708,193,68,22,0
ZCTA5 43061,2912,691,223,0,28
ZCTA5 43062,18605,3517,1408,235,92
ZCTA5 43064,9039,2067,756,130,84
ZCTA5 43065,26242,10385,4515,1431,593
ZCTA5 43066,1068,111,57,0,0
ZCTA5 43067,756,73,43,0,0
ZCTA5 43068,35050,6573,2186,494,261
ZCTA5 43070,96,0,0,0,0
ZCTA5 43071,1543,30,58,13,2
ZCTA5 43072,4033,360,159,0,13
ZCTA5 43074,8087,2087,654,105,113
ZCTA5 43076,6459,895,389,58,30
ZCTA5 43077,219,11,2,0,0
ZCTA5 43078,13965,1402,491,73,81
ZCTA5 43080,3604,428,142,59,7
ZCTA5 43081,38961,12546,5184,822,852
ZCTA5 43082,21293,8645,3551,643,526
ZCTA5 43084,536,24,9,0,0
ZCTA5 43085,17262,6241,2779,830,672
ZCTA5 43101,236,9,0,0,0
ZCTA5 43102,3054,354,74,0,0
ZCTA5 43103,7479,1044,534,172,33
ZCTA5 43105,5275,845,270,41,0
ZCTA5 43106,1000,90,3,23,0
ZCTA5 43107,2252,213,70,16,0
ZCTA5 43109,68,11,7,0,0
ZCTA5 43110,23209,4939,1801,571,102
ZCTA5 43111,156,0,10,0,0
ZCTA5 43112,2978,542,185,10,4
ZCTA5 43113,16076,1706,852,82,61
ZCTA5 43115,927,130,48,7,0
ZCTA5 43116,887,121,79,10,3
ZCTA5 43117,114,0,0,0,0
ZCTA5 43119,18549,3822,925,189,108
ZCTA5 43123,42228,7530,2223,454,334
ZCTA5 43125,9634,2173,355,44,151
ZCTA5 43126,282,33,5,0,0
ZCTA5 43127,96,0,6,0,0
ZCTA5 43128,1415,115,51,10,2
ZCTA5 43130,41230,5027,1997,426,126
ZCTA5 43135,2958,224,27,2,11
ZCTA5 43136,311,27,22,10,4
ZCTA5 43137,1165,125,55,0,0
ZCTA5 43138,12511,1251,544,94,14
ZCTA5 43140,17641,1834,566,104,32
ZCTA5 43142,93,4,0,0,0
ZCTA5 43143,3836,419,109,0,8
ZCTA5 43144,266,4,4,0,0
ZCTA5 43145,1086,74,47,0,7
ZCTA5 43146,9280,850,221,13,13
ZCTA5 43147,25744,7001,3143,364,281
ZCTA5 43148,1507,200,33,15,6
ZCTA5 43149,1972,262,77,13,0
ZCTA5 43150,1443,291,62,0,0
ZCTA5 43151,139,7,1,0,0
ZCTA5 43152,495,35,27,0,10
ZCTA5 43153,662,66,36,5,0
ZCTA5 43154,2072,378,72,26,16
ZCTA5 43155,1829,271,80,1,0
ZCTA5 43156,154,10,2,0,0
ZCTA5 43157,358,15,0,3,3
ZCTA5 43158,190,0,0,0,0
ZCTA5 43160,15407,1667,505,47,20
ZCTA5 43162,4735,466,169,36,24
ZCTA5 43164,1360,100,58,24,0
ZCTA5 43201,11895,3746,1498,612,308
ZCTA5 43202,13887,5030,2457,332,571
ZCTA5 43203,4759,894,271,26,57
ZCTA5 43204,26887,3918,1237,389,167
ZCTA5 43205,8654,1288,471,67,104
ZCTA5 43206,15665,3401,1107,592,333
ZCTA5 43207,31904,2246,638,49,76
ZCTA5 43209,18430,5131,2896,1026,757
ZCTA5 43210,449,110,206,11,35
ZCTA5 43211,12495,596,215,25,28
ZCTA5 43212,13917,5240,2511,1198,625
ZCTA5 43213,21430,2885,883,164,70
ZCTA5 43214,20023,6905,3419,866,746
ZCTA5 43215,10547,4131,1413,804,479
ZCTA5 43217,1281,69,13,0,8
ZCTA5 43219,17261,2783,878,93,58
ZCTA5 43220,18858,6733,3200,1392,878
ZCTA5 43221,22493,9033,3937,1567,1238
ZCTA5 43222,2359,259,56,8,22
ZCTA5 43223,16570,908,292,22,23
ZCTA5 43224,26988,3142,1128,112,85
ZCTA5 43227,14923,1438,505,35,56
ZCTA5 43228,34072,4696,1583,511,112
ZCTA5 43229,32379,5684,1661,252,181
ZCTA5 43230,38202,11460,4993,810,578
ZCTA5 43231,12963,3353,743,71,151
ZCTA5 43232,26934,2740,857,109,40
ZCTA5 43235,30297,9808,4465,1117,955
ZCTA5 43240,2700,858,320,36,90
ZCTA5 43302,38347,2738,1290,395,64
ZCTA5 43310,2248,181,60,49,9
ZCTA5 43311,12650,1427,642,80,69
ZCTA5 43314,2120,260,130,21,0
ZCTA5 43315,4540,405,122,34,21
ZCTA5 43316,3962,328,105,8,0
ZCTA5 43317,105,24,8,0,0
ZCTA5 43318,2813,264,99,2,0
ZCTA5 43319,692,89,14,0,0
ZCTA5 43320,1358,103,59,33,1
ZCTA5 43321,196,7,0,0,0
ZCTA5 43322,254,15,11,2,0
ZCTA5 43323,511,49,0,2,0
ZCTA5 43324,2042,266,70,19,19
ZCTA5 43326,8640,556,299,86,6
ZCTA5 43330,60,1,0,0,0
ZCTA5 43331,3440,137,94,22,0
ZCTA5 43332,1165,55,16,3,0
ZCTA5 43333,495,60,51,0,0
ZCTA5 43334,4944,355,188,2,4
ZCTA5 43336,0,0,0,0,0
ZCTA5 43337,695,59,25,18,0
ZCTA5 43338,6807,748,299,75,0
ZCTA5 43340,1102,68,30,11,0
ZCTA5 43341,840,33,28,0,0
ZCTA5 43342,2072,248,132,0,4
ZCTA5 43343,771,42,4,0,0
ZCTA5 43344,3695,285,69,0,13
ZCTA5 43345,475,41,18,2,0
ZCTA5 43347,1000,150,47,2,0
ZCTA5 43348,1111,65,39,6,5
ZCTA5 43351,7494,733,368,30,33
ZCTA5 43356,814,111,64,24,0
ZCTA5 43357,3022,441,225,34,3
ZCTA5 43358,1697,137,83,29,0
ZCTA5 43359,519,55,3,0,0
ZCTA5 43360,1143,110,32,0,46
ZCTA5 43402,17823,3669,2635,352,715
ZCTA5 43403,37,0,2,0,0
ZCTA5 43406,1134,73,4,14,3
ZCTA5 43407,483,106,5,0,0
ZCTA5 43408,191,11,7,0,0
ZCTA5 43410,7190,549,277,9,28
ZCTA5 43412,3251,393,93,31,0
ZCTA5 43413,1018,81,42,0,6
ZCTA5 43416,1971,316,144,23,24
ZCTA5 43420,21094,1962,801,147,88
ZCTA5 43430,3530,394,173,14,0
ZCTA5 43431,2780,182,86,10,4
ZCTA5 43432,833,157,23,13,0
ZCTA5 43433,20,0,0,0,0
ZCTA5 43434,67,2,0,0,0
ZCTA5 43435,981,82,40,1,0
ZCTA5 43437,301,21,11,2,0
ZCTA5 43438,133,24,4,1,2
ZCTA5 43439,44,0,0,0,0
ZCTA5 43440,4028,731,369,34,28
ZCTA5 43442,875,77,42,2,4
ZCTA5 43443,1267,207,62,10,9
ZCTA5 43445,833,110,47,8,0
ZCTA5 43446,123,26,15,9,0
ZCTA5 43447,2413,321,117,14,0
ZCTA5 43449,5958,732,311,57,53
ZCTA5 43450,2376,421,184,21,8
ZCTA5 43451,669,133,75,1,11
ZCTA5 43452,10168,1322,663,203,100
ZCTA5 43456,406,93,47,6,8
ZCTA5 43457,924,49,11,0,11
ZCTA5 43458,285,11,5,0,0
ZCTA5 43460,4347,709,256,129,42
ZCTA5 43462,749,87,37,0,11
ZCTA5 43463,18,0,0,0,0
ZCTA5 43464,859,88,7,18,0
ZCTA5 43465,3676,334,156,21,24
ZCTA5 43466,1516,124,51,0,2
ZCTA5 43467,55,3,0,0,0
ZCTA5 43468,366,43,0,0,0
ZCTA5 43469,1995,379,116,30,4
ZCTA5 43501,551,37,28,0,0
ZCTA5 43502,4224,639,333,58,7
ZCTA5 43504,933,104,42,6,15
ZCTA5 43505,51,5,0,0,0
ZCTA5 43506,10417,1121,486,119,21
ZCTA5 43511,659,79,36,11,0
ZCTA5 43512,18896,2226,955,147,98
ZCTA5 43515,5775,623,260,106,8
ZCTA5 43516,1783,156,60,9,0
ZCTA5 43517,2662,240,140,4,26
ZCTA5 43518,1766,127,36,3,0
ZCTA5 43519,119,14,0,0,0
ZCTA5 43521,1887,119,64,15,3
ZCTA5 43522,2104,230,168,27,0
ZCTA5 43523,0,0,0,0,0
ZCTA5 43524,822,93,56,7,0
ZCTA5 43525,771,135,60,0,9
ZCTA5 43526,3704,226,82,16,14
ZCTA5 43527,1465,84,37,8,0
ZCTA5 43528,11144,2147,1011,388,116
ZCTA5 43529,181,9,0,0,0
ZCTA5 43531,61,0,0,0,0
ZCTA5 43532,2546,323,36,4,0
ZCTA5 43533,1041,107,27,0,0
ZCTA5 43534,1136,144,21,2,11
ZCTA5 43535,552,49,3,0,0
ZCTA5 43536,332,39,0,0,0
ZCTA5 43537,18587,4552,2114,563,434
ZCTA5 43540,1186,78,41,4,0
ZCTA5 43541,141,12,0,1,0
ZCTA5 43542,2644,437,465,92,15
ZCTA5 43543,5354,525,140,22,18
ZCTA5 43545,10027,1042,652,78,67
ZCTA5 43547,282,0,19,0,11
ZCTA5 43548,499,50,31,0,0
ZCTA5 43549,941,118,56,0,8
ZCTA5 43551,25360,6269,3277,786,531
ZCTA5 43553,129,11,2,0,0
ZCTA5 43554,1734,168,84,7,11
ZCTA5 43555,135,0,0,0,0
ZCTA5 43556,1266,134,16,0,0
ZCTA5 43557,2324,169,40,0,11
ZCTA5 43558,8939,969,410,64,14
ZCTA5 43560,21808,5747,2554,1005,574
ZCTA5 43565,319,26,13,0,0
ZCTA5 43566,5381,888,804,75,35
ZCTA5 43567,8573,1098,271,73,26
ZCTA5 43569,2039,208,64,9,0
ZCTA5 43570,2052,165,75,0,0
ZCTA5 43571,4921,933,511,135,107
ZCTA5 43604,5654,385,190,78,30
ZCTA5 43605,16842,448,216,0,8
ZCTA5 43606,14264,3268,1513,456,573
ZCTA5 43607,13675,1070,487,90,92
ZCTA5 43608,9905,500,230,0,11
ZCTA5 43609,14267,815,586,77,80
ZCTA5 43610,2836,296,118,32,13
ZCTA5 43611,12947,1236,303,39,39
ZCTA5 43612,19620,1592,589,56,122
ZCTA5 43613,21219,3014,974,154,120
ZCTA5 43614,22050,4008,1520,332,191
ZCTA5 43615,26760,4563,1824,457,386
ZCTA5 43616,14555,1722,648,173,68
ZCTA5 43617,4887,1435,657,288,107
ZCTA5 43619,5395,636,209,32,13
ZCTA5 43620,3813,494,280,39,42
ZCTA5 43623,14940,2307,1340,385,167
ZCTA5 43701,37978,3605,1657,416,76
ZCTA5 43711,24,0,0,0,0
ZCTA5 43713,5023,586,252,0,58
ZCTA5 43716,1506,85,20,0,0
ZCTA5 43717,90,0,0,0,0
ZCTA5 43718,2353,175,141,0,8
ZCTA5 43719,1747,134,69,16,10
ZCTA5 43720,937,76,16,0,0
ZCTA5 43721,42,0,0,0,0
ZCTA5 43722,232,0,0,0,0
ZCTA5 43723,3204,98,34,6,0
ZCTA5 43724,7723,318,316,24,5
ZCTA5 43725,13906,1372,737,176,72
ZCTA5 43727,830,36,17,0,0
ZCTA5 43728,739,53,9,1,1
ZCTA5 43730,1467,91,34,2,1
ZCTA5 43731,3843,226,68,10,0
ZCTA5 43732,1311,173,44,0,0
ZCTA5 43733,98,0,0,0,0
ZCTA5 43734,1007,68,24,0,0
ZCTA5 43735,356,0,13,0,0
ZCTA5 43736,45,0,0,0,0
ZCTA5 43738,93,7,2,0,0
ZCTA5 43739,1570,187,5,21,0
ZCTA5 43740,279,14,1,0,0
ZCTA5 43746,1044,97,39,0,0
ZCTA5 43747,559,12,2,0,0
ZCTA5 43748,1802,57,14,2,0
ZCTA5 43749,1903,79,35,0,0
ZCTA5 43750,118,8,34,0,0
ZCTA5 43754,1266,115,29,12,0
ZCTA5 43755,941,69,25,0,0
ZCTA5 43756,3999,264,195,15,21
ZCTA5 43758,2002,182,59,0,0
ZCTA5 43759,51,0,0,0,0
ZCTA5 43760,1444,134,88,0,0
ZCTA5 43761,48,0,0,0,0
ZCTA5 43762,3344,444,187,27,45
ZCTA5 43764,5614,286,201,12,0
ZCTA5 43766,1221,35,38,0,0
ZCTA5 43767,901,140,82,0,10
ZCTA5 43768,245,7,8,1,0
ZCTA5 43771,1253,68,42,0,0
ZCTA5 43772,1346,214,31,0,1
ZCTA5 43773,2175,148,24,3,0
ZCTA5 43777,2707,70,41,5,18
ZCTA5 43778,875,108,10,0,0
ZCTA5 43779,735,62,2,0,0
ZCTA5 43780,1305,193,54,15,13
ZCTA5 43782,523,9,4,0,0
ZCTA5 43783,3329,263,127,13,0
ZCTA5 43786,26,2,0,0,0
ZCTA5 43787,1967,110,28,1,21
ZCTA5 43788,557,8,10,0,0
ZCTA5 43793,3675,253,104,42,0
ZCTA5 43802,662,54,0,0,0
ZCTA5 43804,1771,67,21,23,0
ZCTA5 43805,41,0,0,0,0
ZCTA5 43811,560,8,4,0,0
ZCTA5 43812,13269,1215,391,69,36
ZCTA5 43821,2842,320,126,8,5
ZCTA5 43822,3172,233,40,0,0
ZCTA5 43824,2242,179,54,0,0
ZCTA5 43830,4312,731,249,25,0
ZCTA5 43832,5261,517,160,0,0
ZCTA5 43836,98,7,1,0,0
ZCTA5 43837,1333,101,57,0,0
ZCTA5 43840,934,77,30,15,0
ZCTA5 43842,177,40,0,0,0
ZCTA5 43843,814,70,44,0,0
ZCTA5 43844,2390,238,60,5,2
ZCTA5 43845,3636,320,122,5,0
ZCTA5 43901,1622,109,46,10,0
ZCTA5 43902,48,4,10,0,7
ZCTA5 43903,1712,63,12,2,0
ZCTA5 43905,144,8,7,0,0
ZCTA5 43906,5952,463,241,55,22
ZCTA5 43907,4426,214,160,0,19
ZCTA5 43908,998,97,14,0,0
ZCTA5 43910,2316,231,242,0,7
ZCTA5 43912,4962,383,170,18,10
ZCTA5 43913,1137,42,8,0,0
ZCTA5 43914,91,0,0,0,0
ZCTA5 43915,1037,46,12,0,1
ZCTA5 43917,2286,188,61,4,17
ZCTA5 43920,16070,973,696,94,82
ZCTA5 43925,189,13,0,0,0
ZCTA5 43926,179,11,4,0,0
ZCTA5 43927,87,0,0,0,0
ZCTA5 43928,63,0,0,0,0
ZCTA5 43930,649,41,21,7,10
ZCTA5 43931,190,10,33,0,0
ZCTA5 43932,501,17,5,0,0
ZCTA5 43933,1476,6,0,0,0
ZCTA5 43934,317,0,25,0,0
ZCTA5 43935,6489,509,259,30,33
ZCTA5 43938,3823,275,176,2,7
ZCTA5 43939,430,17,14,0,5
ZCTA5 43940,220,7,0,0,0
ZCTA5 43942,1746,84,44,7,0
ZCTA5 43943,2281,126,71,9,0
ZCTA5 43944,2063,271,52,31,1
ZCTA5 43945,2159,125,78,0,0
ZCTA5 43946,1550,129,39,10,0
ZCTA5 43947,4032,460,226,37,9
ZCTA5 43948,464,53,17,0,0
ZCTA5 43950,12680,1763,836,157,53
ZCTA5 43951,91,10,0,0,0
ZCTA5 43952,11974,1426,500,167,136
ZCTA5 43953,8578,1107,437,151,138
ZCTA5 43961,217,16,0,0,0
ZCTA5 43962,55,0,4,1,0
ZCTA5 43963,1018,90,63,0,3
ZCTA5 43964,6632,403,193,37,21
ZCTA5 43967,0,0,0,0,0
ZCTA5 43968,4219,312,98,0,10
ZCTA5 43970,33,0,0,0,0
ZCTA5 43971,886,111,15,3,0
ZCTA5 43972,150,0,8,0,0
ZCTA5 43973,1595,71,15,14,23
ZCTA5 43974,42,2,0,0,0
ZCTA5 43976,1408,137,30,0,5
ZCTA5 43977,1717,82,47,1,7
ZCTA5 43983,337,13,10,0,0
ZCTA5 43985,79,0,0,0,0
ZCTA5 43986,1271,43,17,11,0
ZCTA5 43988,1550,97,48,12,0
ZCTA5 44001,14921,2318,831,126,77
ZCTA5 44003,3052,340,141,0,9
ZCTA5 44004,22593,1846,740,170,108
ZCTA5 44010,1197,124,90,26,0
ZCTA5 44011,14426,4116,2053,497,200
ZCTA5 44012,15812,5204,2152,598,173
ZCTA5 44017,12534,2651,1207,105,158
ZCTA5 44021,4127,544,196,62,8
ZCTA5 44022,12101,4881,2260,1038,412
ZCTA5 44023,12082,4069,1926,418,269
ZCTA5 44024,16222,3357,1509,339,110
ZCTA5 44026,8096,2126,728,142,117
ZCTA5 44028,6404,752,359,80,103
ZCTA5 44030,11631,965,381,27,25
ZCTA5 44032,1079,37,0,40,0
ZCTA5 44035,43307,4418,2094,256,168
ZCTA5 44039,22094,4320,1598,375,247
ZCTA5 44040,2342,851,328,329,45
ZCTA5 44041,10518,966,403,30,40
ZCTA5 44044,11755,1038,536,78,13
ZCTA5 44045,260,29,0,2,0
ZCTA5 44046,1245,173,67,0,8
ZCTA5 44047,6288,629,292,67,22
ZCTA5 44048,1858,231,42,0,16
ZCTA5 44049,174,15,0,0,0
ZCTA5 44050,4458,599,197,24,11
ZCTA5 44052,18398,1028,545,148,41
ZCTA5 44053,13056,1560,629,52,29
ZCTA5 44054,8931,1305,484,43,61
ZCTA5 44055,12601,583,206,9,16
ZCTA5 44056,8432,2104,1257,153,34
ZCTA5 44057,13470,1575,797,73,48
ZCTA5 44060,44672,8958,3829,466,275
ZCTA5 44062,7597,709,108,47,6
ZCTA5 44064,1157,94,29,0,6
ZCTA5 44065,3199,559,231,0,18
ZCTA5 44067,15199,3468,1408,287,247
ZCTA5 44070,23770,4807,1744,411,124
ZCTA5 44072,3384,1155,441,140,134
ZCTA5 44074,6352,823,975,173,365
ZCTA5 44076,2887,172,142,2,0
ZCTA5 44077,37587,6214,2327,520,344
ZCTA5 44080,66,20,11,0,0
ZCTA5 44081,4791,549,265,35,49
ZCTA5 44082,971,44,0,0,0
ZCTA5 44084,2761,408,53,54,0
ZCTA5 44085,2335,246,53,25,2
ZCTA5 44086,1773,188,63,11,0
ZCTA5 44087,13503,3648,1683,178,160
ZCTA5 44089,11832,1138,688,182,114
ZCTA5 44090,7783,644,478,55,65
ZCTA5 44092,12439,2321,655,207,76
ZCTA5 44093,981,68,43,0,0
ZCTA5 44094,25789,5438,2168,595,264
ZCTA5 44095,23754,3092,1330,199,62
ZCTA5 44099,1271,134,0,13,15
ZCTA5 44101,281,7,4,0,0
ZCTA5 44102,29083,2683,975,358,201
ZCTA5 44103,10900,571,240,66,7
ZCTA5 44104,12142,497,212,23,25
ZCTA5 44105,24751,1691,447,14,32
ZCTA5 44106,14628,2589,1472,871,669
ZCTA5 44107,36920,9815,3943,1380,448
ZCTA5 44108,14988,957,442,243,96
ZCTA5 44109,27039,2558,584,151,91
ZCTA5 44110,12965,914,281,71,40
ZCTA5 44111,27373,4066,1639,280,122
ZCTA5 44112,15349,1141,527,118,40
ZCTA5 44113,14327,2983,1365,793,332
ZCTA5 44114,4770,808,508,360,147
ZCTA5 44115,3689,364,220,145,34
ZCTA5 44116,14886,4918,2361,816,299
ZCTA5 44117,7455,856,419,19,38
ZCTA5 44118,25960,6406,4221,1726,1138
ZCTA5 44119,8344,1050,1001,71,87
ZCTA5 44120,23725,3255,2320,1452,1032
ZCTA5 44121,21806,4584,2867,464,347
ZCTA5 44122,24579,5884,3883,2477,1253
ZCTA5 44123,11387,1376,619,97,133
ZCTA5 44124,27836,7297,3634,1459,590
ZCTA5 44125,19576,2121,786,141,59
ZCTA5 44126,11821,2838,1086,289,184
ZCTA5 44127,3166,239,68,21,5
ZCTA5 44128,19849,1735,978,72,39
ZCTA5 44129,19797,2823,954,181,81
ZCTA5 44130,36425,5796,2582,450,108
ZCTA5 44131,15332,3467,1431,310,108
ZCTA5 44132,9754,1385,402,107,31
ZCTA5 44133,22449,4739,2033,632,283
ZCTA5 44134,27337,3588,1403,150,129
ZCTA5 44135,19476,1814,705,206,52
ZCTA5 44136,18671,5171,2235,447,231
ZCTA5 44137,15431,1515,569,137,0
ZCTA5 44138,15485,3698,1570,204,76
ZCTA5 44139,16281,4757,3011,1120,745
ZCTA5 44140,10998,4053,1757,565,299
ZCTA5 44141,9998,2849,1297,796,179
ZCTA5 44142,13472,1190,362,76,28
ZCTA5 44143,18204,4588,2322,611,358
ZCTA5 44144,15374,2115,470,105,39
ZCTA5 44145,24099,7805,3253,1276,530
ZCTA5 44146,21433,2826,1346,120,77
ZCTA5 44147,13247,3463,2047,467,238
ZCTA5 44149,13550,3776,1847,441,221
ZCTA5 44201,4915,644,166,10,0
ZCTA5 44202,13915,3806,1973,335,445
ZCTA5 44203,28206,3414,1010,213,134
ZCTA5 44212,30434,5468,1678,269,89
ZCTA5 44214,1297,167,62,18,17
ZCTA5 44215,1583,223,74,2,6
ZCTA5 44216,6926,1038,470,33,53
ZCTA5 44217,2669,249,59,8,4
ZCTA5 44221,21587,4116,1104,181,170
ZCTA5 44223,13348,3259,1328,349,133
ZCTA5 44224,26775,7434,3011,699,491
ZCTA5 44230,5918,892,414,54,75
ZCTA5 44231,5675,763,190,33,39
ZCTA5 44233,5452,1284,548,164,41
ZCTA5 44234,2651,419,247,74,35
ZCTA5 44235,1254,150,63,0,0
ZCTA5 44236,17213,6387,3597,892,671
ZCTA5 44240,22348,4699,2599,342,852
ZCTA5 44241,11465,2016,753,56,137
ZCTA5 44243,60,19,15,0,0
ZCTA5 44250,757,0,25,0,0
ZCTA5 44251,689,192,40,18,7
ZCTA5 44253,2471,305,80,38,0
ZCTA5 44254,3523,300,147,15,0
ZCTA5 44255,5944,620,171,18,41
ZCTA5 44256,42220,10501,3996,832,404
ZCTA5 44260,9350,1476,582,75,25
ZCTA5 44262,3636,827,434,53,132
ZCTA5 44264,2032,661,214,46,34
ZCTA5 44265,0,0,0,0,0
ZCTA5 44266,22885,2266,1097,138,205
ZCTA5 44270,5925,682,194,56,0
ZCTA5 44272,3369,331,193,0,23
ZCTA5 44273,5122,857,221,62,42
ZCTA5 44274,121,28,19,0,0
ZCTA5 44275,2247,215,138,0,15
ZCTA5 44276,1197,111,40,12,0
ZCTA5 44278,12402,2358,852,160,179
ZCTA5 44280,3346,606,291,37,20
ZCTA5 44281,20788,4741,1784,429,199
ZCTA5 44285,53,15,0,4,0
ZCTA5 44286,4535,1254,647,215,93
ZCTA5 44287,5041,414,186,33,12
ZCTA5 44288,2337,180,52,7,7
ZCTA5 44301,9877,1411,346,36,37
ZCTA5 44302,3847,728,154,28,16
ZCTA5 44303,5820,1724,878,354,202
ZCTA5 44304,1491,312,157,4,33
ZCTA5 44305,15594,1601,419,71,57
ZCTA5 44306,13360,866,310,7,13
ZCTA5 44307,4298,151,128,5,0
ZCTA5 44308,579,66,33,7,6
ZCTA5 44310,16057,1680,312,95,63
ZCTA5 44311,4361,248,79,22,14
ZCTA5 44312,22715,2323,856,167,91
ZCTA5 44313,17362,5168,1653,876,388
ZCTA5 44314,12880,833,207,63,71
ZCTA5 44319,16734,3248,903,233,118
ZCTA5 44320,13651,1744,550,81,92
ZCTA5 44321,10937,3163,1396,463,290
ZCTA5 44333,13608,4094,1989,929,429
ZCTA5 44401,2191,197,74,16,0
ZCTA5 44402,2113,235,26,27,0
ZCTA5 44403,3081,488,180,12,31
ZCTA5 44404,1207,233,46,2,0
ZCTA5 44405,5409,292,167,32,0
ZCTA5 44406,15659,3471,1761,642,287
ZCTA5 44408,7809,1184,637,53,13
ZCTA5 44410,12865,2010,881,81,92
ZCTA5 44411,1481,79,35,19,0
ZCTA5 44412,1802,148,48,9,0
ZCTA5 44413,5438,439,110,0,24
ZCTA5 44417,1146,215,80,0,21
ZCTA5 44418,1102,184,62,0,0
ZCTA5 44420,10719,1711,379,82,64
ZCTA5 44423,1569,80,45,0,21
ZCTA5 44425,10671,1566,554,98,18
ZCTA5 44427,1249,87,82,0,8
ZCTA5 44428,2319,206,43,0,0
ZCTA5 44429,1958,192,77,17,0
ZCTA5 44430,3737,111,104,9,0
ZCTA5 44431,3382,485,117,3,0
ZCTA5 44432,10303,713,293,9,24
ZCTA5 44436,2566,333,131,41,0
ZCTA5 44437,2955,287,93,35,0
ZCTA5 44438,2950,250,55,11,9
ZCTA5 44439,38,6,0,0,0
ZCTA5 44440,3608,502,163,9,0
ZCTA5 44441,1250,262,80,0,0
ZCTA5 44442,2937,436,138,16,3
ZCTA5 44443,1376,64,74,14,14
ZCTA5 44444,6924,440,177,4,66
ZCTA5 44445,2202,207,60,3,32
ZCTA5 44446,13867,1591,450,89,17
ZCTA5 44449,771,128,17,0,0
ZCTA5 44450,1448,158,5,0,17
ZCTA5 44451,2170,309,122,0,0
ZCTA5 44452,2409,254,126,9,23
ZCTA5 44454,592,105,52,0,0
ZCTA5 44455,1194,56,22,0,0
ZCTA5 44460,18710,2138,615,195,44
ZCTA5 44470,2802,279,98,0,8
ZCTA5 44471,7460,878,198,25,20
ZCTA5 44473,2811,275,112,24,12
ZCTA5 44481,8140,848,299,30,17
ZCTA5 44483,17930,1960,591,175,95
ZCTA5 44484,15839,2695,906,318,198
ZCTA5 44485,10749,662,142,10,11
ZCTA5 44490,601,38,21,2,0
ZCTA5 44491,1914,135,34,11,8
ZCTA5 44493,47,24,0,0,0
ZCTA5 44502,6149,403,102,5,5
ZCTA5 44503,714,22,0,9,7
ZCTA5 44504,2972,327,230,40,87
ZCTA5 44505,14156,1412,452,199,120
ZCTA5 44506,1609,119,0,0,0
ZCTA5 44507,3205,199,73,4,25
ZCTA5 44509,7849,640,198,17,27
ZCTA5 44510,1593,32,0,0,0
ZCTA5 44511,13491,1916,851,145,103
ZCTA5 44512,24727,4723,1810,404,241
ZCTA5 44514,16544,3803,1403,553,193
ZCTA5 44515,19658,2720,1170,193,22
ZCTA5 44601,22828,2220,791,164,124
ZCTA5 44606,3970,407,91,3,27
ZCTA5 44607,122,6,0,0,0
ZCTA5 44608,1819,126,59,12,18
ZCTA5 44609,2952,350,160,46,0
ZCTA5 44610,128,0,16,0,0
ZCTA5 44611,1109,16,26,9,0
ZCTA5 44612,3990,529,218,21,41
ZCTA5 44613,1550,79,6,0,0
ZCTA5 44614,8899,1476,626,137,26
ZCTA5 44615,7724,584,297,80,41
ZCTA5 44618,4376,551,216,28,8
ZCTA5 44620,1037,87,35,9,16
ZCTA5 44621,3104,232,74,4,0
ZCTA5 44622,13014,1848,656,108,69
ZCTA5 44624,3141,107,7,14,0
ZCTA5 44625,1053,124,35,0,0
ZCTA5 44626,2347,193,98,18,0
ZCTA5 44627,3432,116,22,2,6
ZCTA5 44628,658,72,11,0,0
ZCTA5 44629,1638,202,68,0,0
ZCTA5 44632,6603,1261,451,99,8
ZCTA5 44633,1827,140,42,2,0
ZCTA5 44634,1498,169,52,11,18
ZCTA5 44637,2123,73,36,7,0
ZCTA5 44638,1144,153,11,0,0
ZCTA5 44640,105,4,6,0,0
ZCTA5 44641,14337,1655,644,51,104
ZCTA5 44643,2082,247,62,7,16
ZCTA5 44644,3220,298,149,45,13
ZCTA5 44645,1641,205,52,15,5
ZCTA5 44646,31841,4690,1911,334,272
ZCTA5 44647,13096,1062,471,37,52
ZCTA5 44651,402,17,21,0,0
ZCTA5 44652,31,0,0,0,0
ZCTA5 44653,408,15,14,0,0
ZCTA5 44654,11069,647,212,65,36
ZCTA5 44656,2242,119,59,0,0
ZCTA5 44657,7293,597,273,82,36
ZCTA5 44659,82,8,0,0,0
ZCTA5 44661,141,11,1,0,0
ZCTA5 44662,6831,576,293,65,75
ZCTA5 44663,17346,1680,669,104,49
ZCTA5 44666,1880,205,46,5,9
ZCTA5 44667,9317,1227,694,72,40
ZCTA5 44669,963,257,45,20,0
ZCTA5 44670,286,0,33,10,0
ZCTA5 44671,221,13,13,0,0
ZCTA5 44672,3473,397,75,33,17
ZCTA5 44675,1832,122,63,7,27
ZCTA5 44676,3299,342,131,0,3
ZCTA5 44677,1657,275,83,32,17
ZCTA5 44678,99,0,0,0,0
ZCTA5 44680,3302,378,155,14,44
ZCTA5 44681,4546,400,147,60,0
ZCTA5 44682,653,49,19,0,0
ZCTA5 44683,5733,164,145,8,0
ZCTA5 44685,18328,4302,1779,380,307
ZCTA5 44687,253,0,5,0,0
ZCTA5 44688,2247,148,26,2,0
ZCTA5 44689,337,9,0,0,0
ZCTA5 44690,87,0,0,0,0
