Zipcode,Population Total,Bachelor population,Master population,Professional school degree population,Doctorate degree population
ZCTA5 01505,3190,1038,470,157,42
ZCTA5 01506,2483,545,173,24,30
ZCTA5 01507,9124,1886,875,80,66
ZCTA5 01510,9724,2245,830,97,126
ZCTA5 01515,1597,367,94,11,6
ZCTA5 01516,5557,1498,451,65,14
ZCTA5 01518,2179,597,314,49,47
ZCTA5 01519,4457,1541,632,215,107
ZCTA5 01520,10357,3049,1768,257,317
ZCTA5 01521,1837,369,190,13,18
ZCTA5 01522,2120,518,434,48,64
ZCTA5 01523,5426,1133,583,72,72
ZCTA5 01524,4833,863,408,53,0
ZCTA5 01525,118,13,15,0,37
ZCTA5 01527,9377,1952,834,125,61
ZCTA5 01529,2174,372,172,7,12
ZCTA5 01531,807,176,99,6,6
ZCTA5 01532,10088,2985,1828,304,266
ZCTA5 01534,4262,882,613,33,40
ZCTA5 01535,3156,489,251,23,52
ZCTA5 01536,5199,1336,916,159,60
ZCTA5 01537,1592,350,89,0,0
ZCTA5 01540,7829,1665,496,32,15
ZCTA5 01541,2465,774,492,153,84
ZCTA5 01542,1616,215,112,11,9
ZCTA5 01543,5568,1586,620,170,88
ZCTA5 01545,23901,6702,4121,1082,1064
ZCTA5 01550,11268,1171,481,138,52
ZCTA5 01560,2954,815,466,64,49
ZCTA5 01561,123,83,0,0,0
ZCTA5 01562,8512,1332,562,59,126
ZCTA5 01564,5565,1582,809,95,109
ZCTA5 01566,4532,1257,527,158,83
ZCTA5 01568,5062,1450,764,66,60
ZCTA5 01569,9205,2148,886,176,31
ZCTA5 01570,11842,1841,715,75,20
ZCTA5 01571,7391,1482,576,56,98
ZCTA5 01581,13112,4835,2478,503,620
ZCTA5 01583,5517,1154,552,78,34
ZCTA5 01585,3424,642,297,53,19
ZCTA5 01588,6494,1349,517,25,78
ZCTA5 01590,6082,1539,884,90,84
ZCTA5 01602,15833,3984,2172,559,502
ZCTA5 01603,13727,1727,867,72,165
ZCTA5 01604,24129,4601,1440,177,310
ZCTA5 01605,17454,2877,1182,218,279
ZCTA5 01606,13846,3442,1312,285,145
ZCTA5 01607,6337,1349,295,126,43
ZCTA5 01608,1911,252,48,29,35
ZCTA5 01609,11488,2408,1176,517,467
ZCTA5 01610,13464,1181,523,76,109
ZCTA5 01611,1799,346,81,9,0
ZCTA5 01612,3073,798,567,73,150
ZCTA5 01701,23407,7910,4126,788,572
ZCTA5 01702,25140,5839,2599,398,563
ZCTA5 01718,272,113,121,15,0
ZCTA5 01719,3516,1162,1108,130,287
ZCTA5 01720,15287,4778,4741,671,1385
ZCTA5 01721,11937,3809,2441,314,501
ZCTA5 01730,9678,2773,2468,584,637
ZCTA5 01731,952,278,228,0,12
ZCTA5 01740,3348,1119,761,150,173
ZCTA5 01741,3494,1296,971,293,352
ZCTA5 01742,14052,4167,3370,995,1033
ZCTA5 01745,243,68,57,9,0
ZCTA5 01746,9550,3429,1889,256,158
ZCTA5 01747,4013,1271,322,20,0
ZCTA5 01748,10426,3856,2216,500,264
ZCTA5 01749,14271,3340,1568,163,137
ZCTA5 01752,28046,6272,3413,535,423
ZCTA5 01754,7686,2098,1389,135,205
ZCTA5 01756,3878,1094,610,113,24
ZCTA5 01757,19691,4589,1796,331,319
ZCTA5 01760,24255,8625,5811,1205,1108
ZCTA5 01770,2824,1079,776,328,121
ZCTA5 01772,6258,2458,1173,488,313
ZCTA5 01773,3824,1194,1181,217,557
ZCTA5 01775,4682,1506,1082,215,246
ZCTA5 01776,11957,4396,3245,865,909
ZCTA5 01778,9322,3288,2833,797,734
ZCTA5 01801,28972,6703,3377,478,287
ZCTA5 01803,18334,4837,2714,345,734
ZCTA5 01810,22576,7413,6059,1561,1207
ZCTA5 01821,22185,4755,1868,190,290
ZCTA5 01824,18714,5478,3308,558,485
ZCTA5 01826,21527,3588,1360,190,215
ZCTA5 01827,2235,686,463,21,82
ZCTA5 01830,18581,3147,1482,191,64
ZCTA5 01832,15585,2827,1113,220,121
ZCTA5 01833,5815,1607,1048,88,62
ZCTA5 01834,4735,1047,441,79,42
ZCTA5 01835,8850,2067,825,157,90
ZCTA5 01840,3295,281,72,33,22
ZCTA5 01841,28359,1846,535,108,48
ZCTA5 01843,15511,1494,782,107,16
ZCTA5 01844,33089,6095,2785,519,167
ZCTA5 01845,19561,6214,3827,872,531
ZCTA5 01850,9931,1293,577,76,17
ZCTA5 01851,19865,2563,1180,151,117
ZCTA5 01852,23406,3776,1812,239,257
ZCTA5 01854,17492,1981,1114,179,134
ZCTA5 01860,4540,1169,764,94,11
ZCTA5 01862,7718,1522,755,39,59
ZCTA5 01863,6698,1718,1075,67,162
ZCTA5 01864,11061,3713,1327,407,189
ZCTA5 01867,16963,5584,3254,554,445
ZCTA5 01876,21357,4870,1606,217,247
ZCTA5 01879,8367,2537,995,121,69
ZCTA5 01880,18783,5530,2526,365,381
ZCTA5 01886,14838,4884,4173,378,605
ZCTA5 01887,15798,3269,2150,206,229
ZCTA5 01890,14688,4317,3919,1305,1050
ZCTA5 01901,1019,123,90,0,0
ZCTA5 01902,29245,3402,1240,243,172
ZCTA5 01904,12349,2420,1026,173,51
ZCTA5 01905,16076,1905,403,86,38
ZCTA5 01906,20493,3399,1304,241,149
ZCTA5 01907,10063,2854,1847,600,309
ZCTA5 01908,2695,693,378,175,79
ZCTA5 01913,12295,3203,1648,231,186
