2016	33433	1
2015	10583	8
2015	91311	1
2017	10024	3167
2015	07807	1
2014	11417	7368
2011	1065	1
2011	10108	1
2016	12550	1
2010	75403-5202	1
2015	07039	1
2011	94509-1380	1
2010	11001-2024	2
2011	11104	5074
2016	99999	9
2017	11218	4700
2016	07087	4
2010	12540	1
2014	11421	8536
2014	07054	2
2014	33319	1
2012	11421	7333
2013	11411	3109
2013	11251	1
2015	35043	1
2009	44139	1
2017	10176	4
2012	11530	12
2016	07070	2
2010	11693	2321
2011	11205	7514
2014	10952	1
2012	75244	1
2010	66062	1
2015	60601	1
2013	11731	3
2012	850067	1
2011	07073	1
2012	11520	3
2015	10314	16337
2011	67601	1
2011	45201	1
2010	10465	7547
2014	07207	1
2016	11792	1
2016	90630	1
2017	98036	1
2010	10591	3
2010	33607	1
2012	0000	4
2009	06510	1
2009	32142-0032	1
2012	14120	3
2013	33139	1
2011	19335	1
2009	07631	1
2015	11103	10054
2010	11096-0612	1
2013	10601	1
2014	10039	6863
2013		182353
2009	11429	1329
2017	10018	1196
2012	05679	1
2015	11741	1
2015	10463	18493
2014	11357	7557
2010	10001	7701
2011	10065	4993
2016	10001	15176
2014	11590	13
2011	77081	5
2015	ANONYMOUS	1
2010	94509-1380	1
2011	10710	2
2017	11802-9060	2
2012	85254	2
2012	1003	1
2014	33137-0098	1
2009	18773	3
2010	10033	15477
2014	30005	2
2017	10580	2
2015	11436	4512
2010	11767	1
2013	11355	10029
2011	11012	1
2016	10573	5
2014	11797-9012	1
2012	07660	2
2014	10603	5
2011	11771	1
2009	29601	1
2009	14221	1
2013	13790	1
2010	11542	4
2016	07306	9
2013	10577	1
2009	85064	1
2011	75007	3
2011	33318	1
2010	77063	1
2013	11378	7055
2010	23704	1
2016	19962	1
2014	10541	1
2016	07660	2
2015	91367	1
2012	10024	7956
2017	11103	2368
2009	11788-0154	1
2016	10112	82
2009	95402	1
2015	07020	9
2014	92036	1
2010	77074	1
2011	1*9138	1
2016	92618	1
2012	29616-0759	1
2014	11416	6034
2010	10162	21
2010	47117 5524	1
2017	07020	1
2013	10710	7
2013	10150	1
2015	11565	4
2015	35813	1
2011	75313	1
2010	06903	1
2011	11105	6871
2010	55113-2797	1
2017	11219	3759
2016		149224
2016	07086	8
2012	11050	5
2014	48195-0954	1
2016	33033	1
2014	11422	5387
2016	33146	1
2014	10710	2
2013	07002	4
2016	06830	3
2013	11416	4902
2010	11766	2
2016	07071	2
2012	NEWARK AIR	1
2010	11692	4253
2011	11204	12379
2014	06511	1
2012	77272	1
2009	55433	1
2011	11432	11285
2010	10464	1259
2013	10432	1
2012	10018	3896
2011	11230	19340
2016	11793	4
2013	11720	3
